Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Age,Gender,Annual_Income,Signup_Date,Years_as_Customer,Num_of_Purchases,Num_of_Returns,Num_of_Support_Contacts,Satisfaction_Score,Email_Opt_In,Promotion_Response,First_Purchase_Date,Last_Purchase_Date,Marketing_Channel,Signup_Date,First_Purchase_Date,Last_Purchase_Date,Num_of_Returns,Num_of_Support_Contacts,Email_Opt_In,Promotion_Response,Marketing_Channel,Total_Spend
1,CA-2016-152156,08-11-16,11-11-16,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136,58,Male,25000,29-08-15,1.4,5,0,2,9,No,0.529682132,15-10-15,26-01-17,Email,15-09-15,15-10-15,26-01-17,53,0,1,1,Email,1148.78
2,CA-2016-152156,08-11-16,11-11-16,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582,58,Male,25000,29-08-15,1.4,5,0,2,9,No,0.529682132,15-10-15,26-01-17,Email,15-09-15,15-10-15,26-01-17,53,0,1,0,Email,1148.78
3,CA-2016-138688,12-06-16,16-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714,28,Male,25000,28-03-16,1.7,9,0,0,9,No,0.43412218,12-06-16,11-12-17,Search,24-08-16,23-09-16,12-11-17,53,0,1,1,Email,1119.483
4,US-2015-108966,11-10-15,18-10-15,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,51,Female,25000,04-10-15,2.2,15,0,1,10,No,0.479670909,11-10-15,01-12-17,Referral,13-03-15,12-04-15,09-09-17,53,1,1,1,Search Engine,2602.5755
5,US-2015-108966,11-10-15,18-10-15,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,51,Female,25000,04-10-15,2.2,15,0,1,10,No,0.479670909,11-10-15,01-12-17,Referral,13-03-15,12-04-15,09-09-17,53,1,1,0,Search Engine,2602.5755
6,CA-2014-115812,09-06-14,14-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694,22,Male,25000,17-05-14,3.6,24,1,3,8,Yes,0.386821703,09-06-14,07-12-17,Email,07-08-14,06-09-14,12-07-17,53,0,1,0,Search Engine,6255.351
7,CA-2014-115812,09-06-14,14-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.9656,22,Male,25000,17-05-14,3.6,24,1,3,8,Yes,0.386821703,09-06-14,07-12-17,Email,07-08-14,06-09-14,12-07-17,26,3,1,1,Search Engine,6255.351
8,CA-2014-115812,09-06-14,14-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,22,Male,25000,17-05-14,3.6,24,1,3,8,Yes,0.386821703,09-06-14,07-12-17,Email,07-08-14,06-09-14,12-07-17,26,4,1,1,Search Engine,6255.351
9,CA-2014-115812,09-06-14,14-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,22,Male,25000,17-05-14,3.6,24,1,3,8,Yes,0.386821703,09-06-14,07-12-17,Email,07-08-14,06-09-14,12-07-17,26,2,1,1,Search Engine,6255.351
10,CA-2014-115812,09-06-14,14-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47,22,Male,25000,17-05-14,3.6,24,1,3,8,Yes,0.386821703,09-06-14,07-12-17,Email,07-08-14,06-09-14,12-07-17,26,3,1,1,Search Engine,6255.351
11,CA-2014-115812,09-06-14,14-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,22,Male,25000,17-05-14,3.6,24,1,3,8,Yes,0.386821703,09-06-14,07-12-17,Email,07-08-14,06-09-14,12-07-17,26,4,1,1,Search Engine,6255.351
12,CA-2014-115812,09-06-14,14-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,22,Male,25000,17-05-14,3.6,24,1,3,8,Yes,0.386821703,09-06-14,07-12-17,Email,07-08-14,06-09-14,12-07-17,26,4,1,1,Search Engine,6255.351
13,CA-2017-114412,15-04-17,20-04-17,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,19,Female,25000,30-03-14,3,12,0,3,9,No,0.451906806,04-05-14,15-04-17,Email,06-03-14,05-04-14,15-04-17,26,4,1,1,Email,1790.512
14,CA-2016-161389,05-12-16,10-12-16,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,44,Male,27180,25-11-14,2,21,1,2,9,Yes,0.432211741,19-12-14,05-12-16,Social,19-11-14,19-12-14,23-06-16,26,2,1,1,Search Engine,4930.474
15,US-2015-118983,22-11-15,26-11-15,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,55,Female,25719,09-02-14,3.8,10,0,3,8,Yes,0.678605634,06-05-14,30-11-17,Social,06-05-14,05-06-14,30-11-17,26,1,1,1,Social Media,1990.314
16,US-2015-118983,22-11-15,26-11-15,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,55,Female,25719,09-02-14,3.8,10,0,3,8,Yes,0.678605634,06-05-14,30-11-17,Social,06-05-14,05-06-14,30-11-17,26,4,1,1,Social Media,1990.314
17,CA-2014-105893,11-11-14,18-11-14,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176,57,Female,40811,05-09-14,3.3,25,2,6,9,Yes,0.374888193,11-11-14,21-12-17,Email,12-10-14,11-11-14,21-12-17,26,2,1,1,Email,8646.934
18,CA-2014-167164,13-05-14,15-05-14,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99,52,Female,25000,01-05-14,2.9,14,1,3,8,No,0.305533588,13-05-14,27-03-17,Direct,13-04-14,13-05-14,27-03-17,0,4,1,1,Search Engine,2582.898
19,CA-2014-143336,27-08-14,01-09-14,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824,35,Female,25000,12-06-14,3,9,0,2,9,Yes,0.581175932,27-08-14,11-06-17,Social,28-07-14,27-08-14,06-11-17,0,2,0,1,Social Media,1493.944
20,CA-2014-143336,27-08-14,01-09-14,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,35,Female,25000,12-06-14,3,9,0,2,9,Yes,0.581175932,27-08-14,11-06-17,Social,28-07-14,27-08-14,06-11-17,0,1,1,1,Social Media,1493.944
21,CA-2014-143336,27-08-14,01-09-14,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,35,Female,25000,12-06-14,3,9,0,2,9,Yes,0.581175932,27-08-14,11-06-17,Social,28-07-14,27-08-14,06-11-17,0,4,1,1,Social Media,1493.944
22,CA-2016-137330,09-12-16,13-12-16,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596,62,Male,25000,08-01-14,3.3,23,1,2,9,Yes,0.59856062,04-04-14,14-05-17,Email,05-03-14,04-04-14,03-12-17,0,3,0,1,Referral,2744.742
23,CA-2016-137330,09-12-16,13-12-16,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884,62,Male,25000,08-01-14,3.3,23,1,2,9,Yes,0.59856062,04-04-14,14-05-17,Email,05-03-14,04-04-14,03-12-17,0,4,1,1,Referral,2744.742
24,US-2017-156909,16-07-17,18-07-17,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,54,Female,25000,04-07-14,3.3,9,0,2,9,Yes,0.558169076,10-09-14,01-11-17,Search,09-09-14,09-10-14,16-07-17,0,2,1,1,Referral,763.546
25,CA-2015-106320,25-09-15,30-09-15,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649,45,Male,25000,03-04-14,3.5,11,0,1,10,Yes,0.82985408,05-05-14,21-09-17,Email,05-04-14,05-05-14,03-10-17,0,1,1,1,Referral,2767.219
26,CA-2016-121755,16-01-16,20-01-16,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,25,Female,25000,08-06-14,3,17,1,3,8,Yes,0.649731638,02-07-14,27-05-17,Email,08-01-14,07-02-14,27-05-17,0,2,0,1,Referral,684.171
